,id,chartRating,type,title_id,title
208,/title/tt0097165/,8.1,movie,tt0097165,Dead Poets Society
209,/title/tt0074958/,8.1,movie,tt0074958,Network
210,/title/tt0092005/,8.1,movie,tt0092005,Stand by Me
211,/title/tt1201607/,8.1,movie,tt1201607,Harry Potter and the Deathly Hallows: Part 2
212,/title/tt0052618/,8.1,movie,tt0052618,Ben-Hur
213,/title/tt1028532/,8.1,movie,tt1028532,Hachi: A Dog's Tale
214,/title/tt0061512/,8.1,movie,tt0061512,Cool Hand Luke
215,/title/tt4016934/,8.1,movie,tt4016934,The Handmaiden
216,/title/tt0091763/,8.0,movie,tt0091763,Platoon
217,/title/tt3315342/,8.0,movie,tt3315342,Logan
218,/title/tt0758758/,8.0,movie,tt0758758,Into the Wild
219,/title/tt1979320/,8.0,movie,tt1979320,Rush
220,/title/tt0046268/,8.0,movie,tt0046268,The Wages of Fear
221,/title/tt0079470/,8.0,movie,tt0079470,Monty Python's Life of Brian
222,/title/tt0113247/,8.0,movie,tt0113247,La Haine
223,/title/tt0053198/,8.0,movie,tt0053198,The 400 Blows
224,/title/tt1895587/,8.0,movie,tt1895587,Spotlight
225,/title/tt0019254/,8.0,movie,tt0019254,The Passion of Joan of Arc
226,/title/tt0395169/,8.0,movie,tt0395169,Hotel Rwanda
227,/title/tt0097223/,8.0,movie,tt0097223,Time of the Gypsies
228,/title/tt0245712/,8.0,movie,tt0245712,Amores Perros
229,/title/tt1954470/,8.0,movie,tt1954470,Gangs of Wasseypur
230,/title/tt0075148/,8.0,movie,tt0075148,Rocky
231,/title/tt0060107/,8.0,movie,tt0060107,Andrei Rublev
232,/title/tt0198781/,8.0,movie,tt0198781,"Monsters, Inc."
233,/title/tt0087544/,8.0,movie,tt0087544,Nausicaä of the Valley of the Wind
234,/title/tt0032976/,8.0,movie,tt0032976,Rebecca
235,/title/tt0381681/,8.0,movie,tt0381681,Before Sunset
236,/title/tt0048021/,8.0,movie,tt0048021,Rififi
